Review Text,Date,Star Rating,Total Films Reviewed,Reviews This Year,Following,Followers
"a perversion of woman’s self discovery. degrading and disgusting. 20 minutes in, i already wanted it to be over. oh look!! a woman with an infant’s brain (not to mention how it got there) discovers who she is by having super degrading sex before she even knows what it is! oh, and she never has a period btw. oh and all the other main characters are just men taking advantage of her AND she marries one of her groomers. thank…",07 Jan 2024,1,75,7,5,0
I'm prettier and more retarded,06 Jan 2024,6,573,35,88,0
"What if Frankenstein's monster, made a better Frankenstein monster. Now imagine that to the most feminist, and anti-capitalistic movie possible, with Oscar worthy cinematography, costume design and scenery, and with a foot fetish bigger than Quentin Tarantino and...that's it. There you have it. That's Poor Things by Yorgos Lanthimos.",02 Jan 2024,7,2578,60,644,2578
Successfully packs just about every aspect of life and discovery into a solid 2 hour and 20 minute runtime. I’m still in awe over this creation. Yorgos is a genius.,30 Dec 2023,0,2480,84,325,2480
"One of few movies in 2023 I stayed intentionally pretty blind on and now solidly my favorite of the year, I love that feeling. I love movies.The world needs more Amélie Frankenhooker.",30 Dec 2023,0,4501,85,656,4501
Perfect!,31 Dec 2023,0,501,25,426,0
EASILY my favourite film of the year.,28 Dec 2023,0,1474,11,19,1474
"A funny feminist freak-out fueled by a fearless Emma Stone who's strongly supported by the likes of Mark Ruffalo, Willem Dafoe and Ramy Youssef.",27 Dec 2023,9,3267,37,3152,3267
Whenever I say that I can’t be held responsible because I’m “mentally a child” because my brain literally “was transplanted from a fetus by a mad scientist” it doesn’t seem to convince the jury,26 Dec 2023,9,2620,16,113,2620
"“I hope she’ll be a fool—that’s the best thing a girl can be in this world, a beautiful little fool.”in the middle of the sea, harry mentions to bella that he wanted to hurt her because she was a beautiful fool. when i heard this line, i immediately thought of gatsby— a soon to-be mother willfully ignorant to the suffering of the world, desiring to preserve herself from the pain of the world. bella, once a soon to-be mother,…",24 Dec 2023,8,842,47,773,0
"Anyone who adoresBride of Frankenstein,Frankenhookerand the work of Terry Gilliam as much as I do will probably have a hard time being critical about how earnest, moving and visually arresting this can be, but boy this was long, and not just because I watched it with my parents.I don’t mind when movies take time to dwell in places and vistas, especially when they’re this beautiful, but I wish that this was either forty minutes longer or forty minutes shorter. Currently I’m leaning towards the latter though, because what’s here is pretty life affirming.",24 Dec 2023,6,3076,69,400,3076
"“All my research had come to this moment. Fate had brought me a dead body, and a live infant. It was obvious.”“… it… was?”“Take the infant’s brain out and put it in the full-grown woman, reanimate her and watch.”A postmodern prometheus.Poor Thingsis a sweet, beautiful, thoughtful, feminist and trans reinvention of the classicFrankensteinmyth. It’s a movie about the idea of claiming one’s body, growing into it, and asserting ownership of it. It is…",24 Dec 2023,9,2068,60,91,2068
"Tonight I righted a wrong, having missed this at Chicago Intl. two months ago due to a preoccupation. Emma Stone is brilliant, mesmerizing and astonishingly convincing, delivering such a dynamic performance from head to toe. She rose up to the challenge of playing a character with a vast evolution, going from bobbling baby to offbeat sophisticate. Stone deserves a best actress award come Oscar season. Mark Ruffalo proved me wrong; the typical Mr. nice guy we’ve come to expect from…",23 Dec 2023,9,1892,47,1280,1892
"First Yorgos and it’s among the top tier films of the year! Very surprised by how great Mark Ruffalo is in this who plays his character like a Cary Grant 1930s/40s screwball comedy actor. I’m used to him just playing Hulk, a detective, or the Mexican inCollateral. Emma Stone is also fantastic, I see the praise she’s rightfully getting, playing what is essentially a human baby who goes on a wild and fantastical sex filled journey to discover what…",16 Dec 2023,0,1396,34,267,1396
"“i am finding being alive fascinating.”after many long months of awaiting this film, my expectations are certainly met. a whimsical story that is beautifully told about not only being a woman but being a human being overall.yorgos lanthimos continues to impress me. he never fails to suck me in with his storytelling and visuals and the worlds he builds.poor thingsis an odd blend of everything lanthimos does in his films from genre to camera work and it…",21 Dec 2023,9,1080,66,215,1080
have fun on the disney wish losers! i on the other hand will be embarking on thepoor thingscruise experience,21 Dec 2023,3,2037,43,161,2037
"This movie dips a toe into so many vague social ills and just says nothing interesting about any of them. The glitz and spectacle are soulless because the narrative views the violations and horrors Bella experiences as morally weightless. Once again,  girlbossery is not the same as liberation??Those costumes were real nice tho",18 Dec 2023,1,791,1,6,0
"It seems feminism, as well as artsiness, has just become whatever some old rich dude says it is",18 Dec 2023,8,215,2,7,0
"I do feel like a chunk of the middle could've been left on the cutting room floor, but the cinematography and set design is so fucking incredible it's hard to complain that I got to spend more time looking at it. And the location title cards!!!!!!!!!! Wow!!!!Emma of course is incredible but Mark Ruffalo is the comedic mvp.""I do apologize about the kidnapping. Don't be a cunt about it."" I mean... line of the year.",16 Dec 2023,9,4180,25,564,4180
Beautiful and funny and weird and morally questionable.Mark Ruffalo was having a field day in this one,14 Dec 2023,8,437,18,78,0
What if you remade BioShock Infinite but it was a 2 hour comedy about how much Frankenstein jacks off?,13 Dec 2023,8,16,1,191,0
"I quite liked the world director Yorgos Lanthimos imagines up in Poor Things- an alternate-European-Victorian-era drapsed in gothic grotesquerie anddelightfulhumor with a heavy dose of ""hot jumping"". I'm always a mark for aesthetically pleasing films and Poor Things does not disappoint. In fact, this might be the most creative and stylized I've seen Yorgos. He's taking some risks with CGI and unique camera lenses and angles, which mostly pays off. The chapter art is beautiful. Jerskin Fendrix's soundtrack…",05 Dec 2023,0,1254,22,232,1254
"Poor Things is certainly a work of art as it shows that it’s some of the most visual stunning sci-fi films in this modern era of cinema. It’s weird, hilarious, kinky, and very entertaining to watch. I’m all for surrealist movies any day. I have seen five films from Yorgos Lanthimos, and I have to say that this here is outstandingly his best work by far. The cinematography and production design has been done so creatively well. Emma Stone is…",09 Dec 2023,7,2437,158,360,2437
"Chicago International Film Festival #12Poor Thingsis exquisite. On its surface, the story is simple; a woman discovers what it means to be human. But beyond the staggering set pieces, the lush costumes, and the unworldly performances (Stone in particular. Like, Holy shit.),Poor Thingsexamines a central question. What does it mean to be human? Being a human isn’t the hard part, but existing as an accepted member of society? That’s where difficulties lie. We aren’t born with…",21 Oct 2023,0,1753,90,155,1753
"mark ruffalo rizzes up baby gronk (child trapped in adults body played by emma stone’s best performance to date) from ohio (victorian-aged london)this is by far my favorite movie of the year, so creative with so much to say, shot beautifully on 35mm, fucking hilarious, breezily paced, romantic, sad, creepy, and overall just a joy to watch, this is why i want to make movies.",21 Oct 2023,0,2368,38,87,2368
technically a disney princess movie?,19 Oct 2023,0,2012,59,217,2012
WE ARE SOOOO BACK BABYYYYYYYY 100% OFF AT THE CINEMA STORE!!!! 😭 and in the presence of yorgos lanthimos??? 😭,30 Sep 2023,0,920,30,452,1102
"I am Bella Baxter. There's a world to enjoy, traverse and circumnavigate. Let us do this. So Bella's so much to discover.EMMA STONE VOCÊ É ARTISTA!Esse filme aqui é o que estão dizendo dele, uma jornada de descobrimento do mundo e auto descobrimento que nos prende de uma maneira que durante suas 2 horas e 20 minutos de duração você está vivendo tudo aquilo ali.É muito cativante e engraçado, teve um momento que euliteralmente cuspiminha…",02 Feb 2024,8,307,18,221,0
“it’s interesting”,01 Feb 2024,8,532,16,406,0
"I'm so unsure on what to say about this. I mean it's literally perfect, maybe the best of last year but I think I need to rewatch beau is afraid to solidify my opinion on what I prefer. This was literally everything I wanted it to be, funny, beautiful and pretty fucking weird. The casting for this film is fucking brilliant and everyone gives excellent performances that I don't see anyone else pulling off so well. It has some of…",01 Feb 2024,0,2348,191,244,2348
"Fascinating, electric, creativity unbound.Poor Thingsis the culmination of so many people with the same vision circulating in their brain, a cohesive whole of understanding around the central ideas in the script and in Yorgos Lanthimos' direction. Every department sinks into the fabric of this wonderful creation, and in doing so, defines their own cinematic language. An oscillating wave of curiosity, hilarity, and self-discovery strikes a melancholic tone when you least expect it. Sublime.",31 Jan 2024,0,1241,18,129,1241
"i refuse to think you actually liked this. once again a man talking about women experiences and, to no one's surprise, romanticizing sex work in the nameof""female empowerment""..... i'm so sick of it. it even caused me migraine, not joking.bella baxter talking like the predictive text was cute tho",31 Jan 2024,2,3169,50,156,3169
"""Love does not dominate, it cultivates. And that is more.""-Johann Wolfgang von Goethe",28 Jan 2024,8,2797,21,675,2797
For the love of god can we stop letting men make movies about womanhood,30 Jan 2024,1,4,4,5,0
"I loved the movie so much and I can only say, Long live sex and women! Emma Stone IS the moment",30 Jan 2024,9,1211,40,432,1211
"I understand no liking the movie, but being offended by it seems odd, I mean, isn't calling her ""the male fantasy"" displaying a condescending view of her autonomy and passing the kind of judgement this movie in denouncing? Inside the narrative she certainly doesn't perform as such, anyway.Yes, men made this movie, and yet, it is Emma's.",29 Jan 2024,0,1874,16,1276,1874
"i seek to drive men insane and condemn them to asylums or to failed murderous plans and then turn them into goat creatures in my little garden as well, bella. we should be friends!",29 Jan 2024,9,2358,57,468,2358
Fucking horrible.Why is she only interested in sex?The objectification of women in this film is beyond comprehension. I had to leave and go watch another movie because there is no way that she would be interested mainly in sex after being exposed to the outside world for the very first time. The way they made a movie about a woman with a baby brain addicted to sex is beyond me. No mention of menstruation either.Fucking disaster,29 Jan 2024,1,54,3,1,0
"Until now, few would have taken Yorgos Lanthimos for a liberal humanist. His films prior toThe Favouritewere absurd affairs that saw socialization as deceitfully arbitrary, romantic love as a dubious prospect amidst overwhelming alienation, and the family — that old reliable stand-in for society at-large — as a dysfunctional body.If his last effort brought a thaw to the Greek director’s icy performances and detached visual style,Poor Thingscould be his version of a tropical vacation. Aglow…",26 Jan 2024,6,2229,32,219,2229
"Der konventionellste Regisseur Yorgos Lanthimos wahrlich nicht. Und dafür liebe ich seine Arbeit. Es ist immer wieder herrlich, wie er gesellschaftliche Paradigmen auf den Kopf stellt und mit seinen Dialogen so unmenschlich wie entlarvend ist. Zusammen mit einer kühlen und fast schon sterilen Inszenierung entführte er seine Zuschauer bisher in seine surrealen aber dennoch greifbaren Welten. Mit POOR THINGS geht er nun einen gewaltigen wie gewagten Schritt weiter. Die Inszenierung hält nun Händchen mit der surrealen Geschichte und was hier…",26 Jan 2024,9,3399,79,315,3399
"In full honesty, ""Poor Things"" is surprisingly the movie I've felt most represents my experience with girlhood and dealing with my femininity.I've always had such a complicated relationship with womanhood in general. I've always felt weird for not fitting in with what everyone told me it was. Hyper-femininity was something I found comfort with, yet I wasn't very comfortable in it.Yet everything I've seen Bella Baxter go through—her emotions and her overwhelming curiosity, her being disadvantaged by her…",28 Jan 2024,0,1327,142,149,1327
"yorgos lanthimos watched Eraserhead while horny and had an epiphanyvery cute film, a bit overly long but extremely gorgeous and well made. beautiful production design and Emma Stone is fantastic. not the best of the year but very good!p.s. Straight guy I saw this with left halfway through because it was too ""icky"" which was really funny",28 Jan 2024,8,640,33,158,0
"Man what a wild ride, I saw two older ladies walk into my screening. And to be honest I was expecting them to walk out once the extreme sex started, but to my shock and delight the annoying teenagers who were on there phones the whole time were the ones who walked out. Good riddance. I’m a big fan of Yorgos, I think he’s doing really great things. This was a little different for him but his style was all…",27 Jan 2024,9,7413,72,4365,7413
Sometimes I like to watch what men think being a woman is; sue me. Sometimes I like being the only person in the theater laughing too.,27 Jan 2024,0,3960,15,1411,3960
what a fucking accomplishment. fantastic. Yorgos is truly one of the most important filmmakers of our time,26 Jan 2024,9,2063,44,146,2063
"Everything about it is so refreshingly creative, innovative, exciting, and extremely well done. It is not necessarily a perfect film, but the big picture offers such an exquisite experience that is just too hard to resist. Emma’s performance is not only a career highlight (which is a tremendous statement in itself), but one of the finest performances of the century. A rollercoaster of emotions, a hell of a ride. She’s fearless, tenacious, endearing, charismatic, and so powerful in her gestures and details. Such a bold, unforgettable movie.",26 Jan 2024,0,1684,39,174,1684
January Film LogI said that I needed a second watch of Poor Things to fully appreciate a picture such as this and boy it turned out to be more better and exciting when I think about it more. To call this one of the most innovative pieces of medium might sound like an overstretch to some but I have to shut those people down Poor Things is one of those films and it holds it close to it’s chest. …,17 Jan 2024,0,609,35,622,0
Barbie para el estudiante de medicina,25 Jan 2024,0,3666,44,83,3666
rip bella baxter avresti amato wap (cardi b feat. megan thee stallion),25 Jan 2024,0,1793,28,302,1793
"La parola chiave di questo film è “esperienza”.Si, perché innanzitutto è un’esperienza che devi regalarti. Ti immergerai in questi piccoli grandi mondi che ti arricchiranno senza che tu possa accorgertene.È sperimentalismo perché il film si apre con la scienza che cerca di cambiare le cose, dare nuova linfa ad elementi che linfa non hanno più, dare nuova vita ad un corpo morto.Ma la parola chiave èesperienza, perché da quando nasciamo facciamo esperienza delle cose che ci…",25 Jan 2024,1,521,23,305,0
"yorgos lanthimos is definitely in his ""Mainstream Weird"" phase (I havent seen any of his earlier works besides The Favorite) and I think that's probably why something as ""risque"" and ""surreal"" as this can get 11 oscar nominations without it seemingly particularly unusual to anybody that the academy would take that much interest in it. its actually a very straightforward film narratively, so much so that a lot of the ""surreal"" style comes off more as window dressing to me…",25 Jan 2024,1,2017,27,60,2017
"I refuse to watch this movie but I have to talk about it. This ""film"" is Hollywood pedophile propaganda trying to normalize having sex with children. The mind of a child in the body having sex with adult men. This will be the only movie on here I rate with stars, both to bring down its score and to remain on my page so people can see what this movie truly is. This is not feminist, it's pedophilic. Jeffery Epstein…",24 Jan 2024,1,90,15,26,0
"I don’t care how disturbing a movie can be or the amount of sex, but I draw the line at sexualizing an infantilized woman. Also, and I quote somebody else “white feminism thinks that having sex that the most powerful thing a woman can do”.",24 Jan 2024,7,60,13,2,0
"Well, I had high hopes when this first came out but when I tell you this movie quite literally made me want to off myself so get ready for another of me being a haterSo, they set the film in a futuristic world tech-wise but then have it clearly meant to be Victorian-esque pretty much just to justify the use of the r-word and abuse of disabled and mentally ill folk.Hearing people in a cinema laughing throughout when…",24 Jan 2024,0,191,16,13,0
"It would have been such a perfect film if bella’s character didn’t revolve so much around her sexuality…And I can’t help saying « we can tell it was directed by a man » because INDEED WE CAN TELL! And I think that if the film wasn’t this gorgeous, I would not have liked it that much <3(this is news to no one but emma stone is everything)",23 Jan 2024,9,1692,20,97,1692
BELLA BAXTER OSCAR NOMINEE,23 Jan 2024,9,312,38,304,0
"Gorgeous and imaginative production design, classic Jorgos-style camera moves and cinematography, funny moments here and there, wacky performances…Emma Stone is fantastic and deserves the acclaim for this hugely ambitious swing.I hated just about every minute of this. I know I’m in the minority, and I do not care. This may be the most pretentious garbage I’ve seen since ‘mother!’.",21 Jan 2024,2,2364,36,45,2364
"La función era a las 6:55.Fui con mi hermano a ver la película, ya teníamos las palomitas, nos pidieron la INE, la teníamos, todo bien, todo iba como viento en popa.Eran como las 6:47 o 48 cuando ya estábamos por entrar a la sala, por alguna extraña razón, la película ya estaba empezada y dije “vrg, espero no haya pasado mucho”. La sala estaba medio llena cuando llegamos, todavía entraron unas cuantas personas más y de la…",20 Jan 2024,9,2863,60,166,2863
"I genuinely think this is the greatest film I’ve ever seen before.Weird, hilarious and beautiful- what Yorgos does with this film is truly remarkable and unlike anything I’ve ever seen. The costume and production design are both incredibly done, I really loved this gorgeously bizarre world that we’re thrown into. Robbie Ryan’s work behind the camera is such a triumph on the senses, the way he shoots this film is so unique and intriguing that it becomes so effortless…",20 Jan 2024,0,1307,8,1063,1307
"Woah, where do I start... first I wanna say that I actually expected to enjoy it a bit more, I still liked it a lot of course. I see it as a coming of age movie, exploration of life and its good and bad flavors. Classic Lanthimos - so bold, so creative, he even menages to exceed himself, pulling off that crazy story, unique camera work, editing, set designs and costumes. The performances are astonishing, Emma is just brilliant",20 Jan 2024,8,691,30,195,0
Need Emma Stone and Yorgos to walk away with Oscars or I will commit violent crimes.,19 Jan 2024,9,2045,37,470,2045
"“i have adventured it and found nothing but sugar and violence”desde hace unos cuántos años que el cine de yorgos lanthimos me fascina por su fría excentricidad. sin embargo, este proyecto en particular me llamó la atención más que nada porque es la primera vez que utiliza un guion adaptado (en este caso, de la novela homónima escrita por alasdair gray) y eso me daba cierta curiosidad. frente a esto, fui corriendo a leer el material de base y,…",18 Jan 2024,8,3543,56,796,3543
"""I adventureded and found nothing but sugar and violence. It was quite agreeable. I am fine.""yes, this is the third time this week, and no, you don't understand. Bella Baxter is literally me. further analysis may have to wait until I remember that looking in a mirror results in neither colours so saturated nor a hope for the future of humanity so potent. god, i love cinema.",19 Jan 2024,0,517,47,91,0
"Como comedia es casi un 10: muy graciosa y le pega con cada momento de humor. Las actuaciones van de muy buena a excelente, destacando un divertidísimo Mark Ruffalo y una deslumbrante Emma Stone. Se le suma una muy buena fotografía (aunque a veces repetitiva con el plano ese de ojo de pez) y una banda sonora excelsa que se siente muy clásicaLas contras que le veo son su separación por capítulos (en este caso: por ciudades), el tercer…",18 Jan 2024,8,2818,50,162,2818
Халк крадёт каждый кадр,19 Jan 2024,8,1372,84,72,1372
I love how Bella just always lets her intrusive thoughts win. This should be the norm.,18 Jan 2024,9,1577,8,447,1577
idk if i want to be emma stone or be with her.,18 Jan 2024,0,807,39,375,0
"She’s right, sex is great.",08 Jan 2024,8,2499,20,496,2499
"Emma Stone is brilliant in this movie, Mark Ruffalo is hilarious, and Willem Defoe plays such a tragic character, but in a humorous way. The sets were beautiful, the costumes were stunning. The story was so interesting. A story of a woman feeding her curiosity and not following the rules that are expected of woman at the time… whatever time it is supposed to be.I am enjoying Yorgos Lanthimos films. He is becoming a must see director for me. A Very eclectic story teller",16 Jan 2024,0,3910,36,147,3910
"Did we even watch the same movie?!!! How, disrespectfully, did anyone get the idea that this is about feminist liberation?Written, directed and produced heavily by men. And it shows.I can’t believe this movie was made. Actually I can, and how sad is that.",17 Jan 2024,1,38,38,4,0
[Up from a 9/10]Sardonicast:youtu.be/01Fcmcwk15E?t=2844YMS:youtu.be/rGLux_eKD5s,16 Jan 2024,0,3608,33,3,3608
The pervert’s bible. Still delicious.,16 Jan 2024,0,3206,46,458,3206
"I was going to use the word ‘fearless’ to describe Emma Stone’s performance but then I read an article which said that this is the most common adjective attached to it. Probably because she fearlessly takes her kit off - very unusual for a Hollywood actress of her stature these days.Whether she was afraid or not, it’s a brilliant turn from Stone, tapping into the currents of humour that run so deep in her. Her supporting performers are good…",16 Jan 2024,8,7045,51,227,7045
get her a temu rose toy. and stop that ring camera from filming the movie pleaseeee,15 Jan 2024,0,594,10,1177,1177
you are so incredibly dense if you think this is feminism,14 Jan 2024,1,22,2,2,0
"Poor Things is visually spectacular. It's a painting I want to hang on my wall forever. The production design and costumes are excellent. The cast is excellent. This is my favorite performance from Emma Stone. It's one of those films you just know people will be referencing for years to come.It's an interesting, compelling story that just didn't move me deeply. That's not a slight against the film, I don't think it's flawed or anything. I just didn't feel…",14 Jan 2024,8,439,13,505,0
"it starts off so strong, meanders slightly and somewhat hams up its message by the midway point, but absolutely sticks the incredible landing. Super funny, poignant and with such powerhouse performances I’d be disappointed if it didn’t receive serious Oscar recognition, especially as it seems this is gaining more traction among casual audiences than Lanthimos usually gets.Probably one of the final entries in my2023 rankedlist as I finish up the year.96th Best Picture Nominees Ranked",14 Jan 2024,9,955,28,540,0
Marvel deprived us of these kind of Mark Ruffalo performances for over 10 years,09 Jan 2024,9,688,53,550,1060
SHE SAID CHEESED TO MEET YOU!!!!!! 5 STARS!!!!!! I LOVE BEING ALIVE!!!!!!!!!,05 Jan 2024,0,2206,34,281,2206
"Well, I liked her! Quite a lot. An endless barrage of surgery and sex scenes–fantastic. Incredibly flashy. Quite possibly hollow inside; at the very least, much stronger as a character study than it is as a political statement.",30 Dec 2023,7,1790,63,256,1790
"this movie literally made me sick to my stomach, from the very first masturbation scene (like 20-30 mins in?) it completely lost me and i just felt angry for the next 2 hrs - literally a disgusting paedophilic sexual fantasy somehow disguised as a quirky feminist takedown? bella spends half the movie naked and being had sex with (***) as a very young child in an adult body (which is btw mostly hairless and smooth and childlike anyway) whils talking…",24 Dec 2023,1,1757,28,87,1757
there is an editing choice in this (the one with a goat) that is perhaps one of the funniest cuts i’ve ever seen in a film,16 Dec 2023,0,1676,15,349,1676
"In which Yorgos deposits his blank check and descends into meandering self-parody, flailing about from repeated wisecrack to repetitive punchline. It aims for the madcap whimsy of the best Burtons with a sexual edge, but by the time its thoroughly overworked and poorly paced narrative is through, you’ll find yourself admiring Emma Stone’s admittedly stellar performance and little else. A massive disappointment from the heights ofThe LobsterandThe Favourite.",09 Dec 2023,5,4632,64,321,4632
"I find myself in a tricky spot with 'Poor Things.' On one hand, its' a transfixing fantasia that showcases the astonishing collaboration of Emma Stone and Yorgos Lanthimos. There is no doubt that this duo is going to give us many masterpieces for years to come, enabling and deepening each other's most unique creative instincts. On the other, I find that Lanthimos' hyper absurdist take on the Frankenstein story has its' limits when it tries to delve into territory deeper…",08 Dec 2023,7,3459,29,332,3459
ja pod hitno moram da se saberem ovo je vrv nesto najbolje sto sam gledala ove godine,25 Nov 2023,0,570,33,260,0
"**respiro fundo e decido que vou fazer uma review que preste**já dizia carl jung: ""no adulto está oculta uma criança, uma eterna criança""um filme, como diria meu contemporâneo favorito, shrek, cheio de camadas sobre o sexismo na era vitoriana e que também nos assombra nos dias de hojecomeçamos com a mulher histérica na sociedade vitoriana, as socialmente inadequadasapesar de ser uma puta bomba cheia de cenas de nudez/sexo, o diretor foi assertivo em mostrar como naquele…",09 Feb 2024,7,591,123,1873,1873
god please take all of her suffering and give it to men,09 Feb 2024,0,154,13,181,0
i must go punch that baby,09 Feb 2024,9,581,44,419,0
PEAK CINEMA,09 Feb 2024,0,876,25,431,0
"Wowee... this actually ... lived up to expectations? And was ... very good?Had a great time watching this with Jacky B in a busy cinema. Lots of good laughs in this one, how good seeing Willem DaFoe in this role, Mark Ruffalo is hilarious, and Emma Stone deserves to win best actor, she was brilliant. Unlike Yorgos' other work which I found hard to watch and sometimes lacking in humanity, this film has soul.I like the ideas of…",16 Jan 2024,8,820,7,165,0
So this is what people mean when they say they watch porn for the plot,08 Feb 2024,9,831,16,38,0
DO NOT WATCH THIS WITH YOUR PARENTS!,08 Feb 2024,8,384,44,434,0
"Objetar a una película que esencialmente todo el mundo adora es una sensación muy solitaria. Y no creo que nunca haya sido tan superada en número. Esta película no fue hecha para mí, sí, pero eso inevitablemente se convierte en su propio problema. ¿Cómo puede una película que se comercializó como una exploración de la feminidad no ser para mí? Tal vez es porque mi feminismo no está atrapado en la despensada tercera ola de la liberación sexual que considera…",09 Feb 2024,6,64,33,154,0
"Llegué al cine pensando en hacer un double feature pero al finalizar la película estaba pensando en tanto que preferí dejarlo así, me fuí. Y todavía estoy pensando en ella. No es algo que puedas comparar con otra cosa realmente. El viaje más extraño que he visto acerca del descubrimiento, del mundo y del yo, de la inocencia y el deseo, de la felicidad. Tienes cosas que decir respecto a lo moral y lo ético, respecto al libre albedrío. Creo…",08 Feb 2024,9,448,9,313,0
"de premisse is simpel; Bella Baxter wordt zowel gemaakt als klein gehouden door praktisch alle mannen in haar leven (wie niet?), en ze verlangt naar vrijheid en een wereld waarin deze onevenwichtige patriarchale verhoudingen niet de boventoon voeren. op het eerste oog: what’s not to like?Poor Thingsheeft flamboyante kostuums, idyllische en kafkaëske omgevingen, komisch grove karaktertrekken van Stone, een markante soundtrack en het soort ongeremdheid waardoor je als kijker snakt naar meer. tegelijkertijd vond ik het, bij nader inzien,…",08 Feb 2024,7,1032,33,145,1032
"I finally watched POOR THINGS (I know, I know… I had reasons). What a movie! What an experience! Yorgos Lanthimos for life.I can’t wait to spend the rest of my life revisiting this movie and experiencing it in new ways as I grow and change as a person.",08 Feb 2024,9,4996,38,754,4996
"""Bella Baxter: i am finding being alive fascinating.""Bella nossa frankenstein!! realmente uma experiência... assisti pouco do cinema do Yorgos, mas já sabia que esse aqui seria algo incomum, fora da caixa. acredito que Poor Things não seja um filme pra todo mundo (e tudo bem!) mas para aqueles que irão mergulhar na história contada será uma ótima experiência. esse filme foi muitoo feito para as salas de cinema, então se tiver a oportunidade, assista no cinema. a trilha sonora…",08 Feb 2024,0,871,12,2189,1906
"War in einer ganz seltsamen Roboter-NPC-Vorstellung, in der läppische 20 Menschen nicht lachten, sich nicht empörten, kein einziges Gefühl zeigten, ein paar sogar frühzeitig gingen. Entgeisternd. Was ist los bei euch banalen Kreaturen?Okay, ich hab's versprochen, aber… Ich habe interessanterweise doch wenig Lust, noch mal ausführlich über „Poor Things“ zu sprechen — was am ehesten damit zu tun hat, dass ich den Film für ein herausragendes Erlebnisprojekt, ein aufkreischendes Happening, ja, eine Art grotesk-postmodernen Gottesdienst für gleichgesinnt Freiheitsvernarrte und…",08 Feb 2024,8,4512,119,98,4512
"Rifacendosi (probabilmente) a filoni filosofici come il nichilismo nietzschiano o a testi come il Kamasutra,Lanthimoscostruisce per la sua protagonista un tortuoso quanto dinamico viaggio alla scoperta del mondo e soprattutto di se stessa.Sono felice di averlo visto in inglese (prima esperienza in v.o.s al cinema, aggiungo), poiché ho potuto assistere integralmente all'incredibile lavoro diEmma Stonedietro il personaggio di Bella Baxter, non azzardo a definirla la sua interpretazione migliore, ma senza dubbio una delle più complesse,…",07 Feb 2024,9,863,58,86,0
"English Version BelowIm KinoIch kann direkt sagen dass ich wirklich begeistert bin. Ich habe keine Trailer gesehen und wusste somit fast gar nichts und war ziemlich überrascht.Denn dieser Film ist alles andere als für das normale Publikum. Wer schon länger meine Reviews liest, weiß dass ich auf so eigene, abgedrehte Filme stehe. Und Yorgos Lanthimos hat genau das gemacht. Er hat einen neuen erschreckenden, kontroversen und vor allem einzigartigen Film geschaffen. Eigentlich ist das schon kein Film…",06 Feb 2024,0,1455,13,65,1455
"Vindo de uma carreira controversa tanto pelos temas que aborda, quanto pela forma que decide filmar - uma balança complexa entre estilo e falta de sensibilidade na encenação, pelo menos acredito que agora é possível ressaltar como esse casamento entre estilo e forma em Lanthimos está mais orgânico do que nunca. Anteriormente em A Favorita, filme mais contido, de época, mais interessado em explorar o drama que o choque, o diretor já havia experimentado uma encenação menos chamativa e agora…",05 Feb 2024,6,3106,61,220,3106
"Criador e criaturaÉ muito foda como o Lanthimos tem um jeito peculiar e original de contar suas histórias, e aqui especificamente há um casamento perfeito do seu estilo e da ironia da história que ele esta contando.Descobertas, experimentos, vivências, é assim que um ser humano se torna realmente um ser humano. Muito além do choque e da estranheza, há algo de extremo comum dentro de tudo isso, uma história de Deus, como o próprio filme verbaliza constantemente, e de sua criação.",03 Feb 2024,0,1463,10,649,1463
""" Ihave adventured it and found nothing but sugar and violence.""It crept its way into 2023 by the last minute, and yetPoor Thingshas already become my personal favourite of the year by far. From the offset I knew the source material was a perfect match for Lanthimos' unique style and he directed the hell out of this. From the 'otherly' worldbuilidng, peculiar characters and unapologetic debauchery this is Yorgos Lanthimos at his most idiosyncratic and for…",14 Jan 2024,0,2173,60,1064,2173
“wasn’t expecting that much fucking” - the old couple sat behind me,13 Jan 2024,0,947,13,259,0
"Yorgos Lanthimos’ magnum opus. Somehow even better second time around. It absolutely FLEW by. Every shot choice, cut and music cue for that incredible score is so memorable that just on my second viewing, it all seemed so familiar and entrenched into my subconscious. One of the most richly textured and wonderfully surreal studio films I’ve ever seen. So glad we live in a time where something like this can be made and marketed to wide audiences. Also, all the…",13 Jan 2024,9,955,40,370,0
"Probably goes down like hemlock if a Jeunet/von Trier mashup doesn’t suit your taste but it did me just fine. Interesting that everyone seems so ticked off by this when I found it to be Lanthimos’s best film by far. It’s the only one that’s any funny and consistently so. To some extent, I always felt like I was enduring his movies and cherry-picking things to like about them but I wasn’t conscious of that this time—at least not until…",06 Jan 2024,9,4034,35,270,4034
"A ‘Poor Thing’ is an object of pity.We often watch them from afar — from a safe distance — because, deep down, we known that nothing in our power can aid their situation. We can’t change them. They’re beyond help.Bella Baxter leads an unfortunate existence (by most standards).Unaware of her past, her growth stunted by an over-protective father-figure/creator — it’s easy to watch her with those same pitiful eyes. It’s simple to call her a ‘Poor Thing.’…",08 Jan 2024,0,1321,39,748,1321
